epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1265.98,0.77228,0.61881,1.03089,0.82165,0.63158,0.73291,0.57728,0.71089,0.63859,0.96855,0.000522701,0.000522701,0.000522701
43,1295.68,0.7428,0.59195,1.00993,0.72862,0.6864,0.72628,0.53843,0.75895,0.68479,0.99409,0.000500597,0.000500597,0.000500597
44,1326.38,0.74193,0.58973,1.02528,0.76688,0.64474,0.69927,0.56815,0.71107,0.6538,0.97111,0.000478492,0.000478492,0.000478492
45,1356.7,0.74555,0.58009,1.02588,0.67765,0.77487,0.72936,0.58291,0.75692,0.65157,0.99046,0.000456387,0.000456387,0.000456387
46,1385.31,0.73447,0.59931,1.0211,0.77687,0.54788,0.64463,0.51642,0.76276,0.68261,0.99852,0.000434282,0.000434282,0.000434282
47,1412.75,0.74236,0.58799,1.0271,0.71076,0.58333,0.63458,0.51353,0.73219,0.66026,0.98745,0.000412177,0.000412177,0.000412177
48,1441.94,0.72464,0.57149,1.02055,0.65988,0.59649,0.67472,0.54359,0.74546,0.70148,0.97841,0.000390072,0.000390072,0.000390072
49,1471.89,0.72354,0.56812,1.02305,0.60897,0.69298,0.70063,0.55518,0.7129,0.69304,0.96005,0.000367967,0.000367967,0.000367967
50,1498.71,0.69537,0.5471,0.99352,0.62059,0.68809,0.6928,0.54049,0.73148,0.77571,0.9705,0.000345863,0.000345863,0.000345863
51,1528.42,0.67359,0.56393,0.97903,0.67466,0.65991,0.6709,0.52289,0.75832,0.7493,1.00225,0.000323758,0.000323758,0.000323758
52,1557.63,0.66802,0.54362,0.98827,0.62564,0.70333,0.68297,0.53404,0.74011,0.73927,0.99077,0.000301653,0.000301653,0.000301653
53,1583.43,0.70224,0.57826,1.01517,0.67876,0.63816,0.69657,0.55276,0.71426,0.73179,0.97213,0.000279548,0.000279548,0.000279548
54,1613.58,0.69881,0.5427,1.01006,0.76095,0.60845,0.70701,0.54515,0.71914,0.67392,0.97773,0.000257443,0.000257443,0.000257443
55,1661.63,0.6517,0.53965,0.95806,0.7093,0.67982,0.72939,0.53534,0.7405,0.66842,0.98948,0.000235338,0.000235338,0.000235338
56,1692.07,0.6282,0.50899,0.94924,0.77913,0.67689,0.73601,0.56638,0.72964,0.66654,0.97886,0.000213234,0.000213234,0.000213234
57,1724.07,0.61358,0.48748,0.9365,0.75664,0.63816,0.70747,0.56293,0.7424,0.70061,0.99265,0.000191129,0.000191129,0.000191129
58,1751,0.61528,0.48363,0.94202,0.71786,0.69956,0.68862,0.54888,0.75299,0.70499,0.99994,0.000169024,0.000169024,0.000169024
59,1781.8,0.63895,0.48003,0.96312,0.66197,0.66951,0.70811,0.55109,0.73193,0.70322,0.99354,0.000146919,0.000146919,0.000146919
60,1805.71,0.58774,0.4673,0.94658,0.69641,0.6941,0.71339,0.55605,0.72012,0.69278,0.9882,0.000124814,0.000124814,0.000124814
61,1834.18,0.60906,0.47187,0.96297,0.56896,0.86623,0.72946,0.57806,0.70759,0.67281,0.97655,0.000102709,0.000102709,0.000102709
62,1862.87,0.58636,0.45758,0.94511,0.60087,0.864,0.74041,0.5959,0.71028,0.66047,0.97448,8.06045e-05,8.06045e-05,8.06045e-05
63,1891.75,0.5664,0.45162,0.91997,0.60867,0.86524,0.74777,0.6,0.69941,0.65406,0.96613,5.84997e-05,5.84997e-05,5.84997e-05
64,1922.37,0.57793,0.45234,0.93082,0.75496,0.66872,0.75017,0.60248,0.69541,0.65435,0.96482,3.63948e-05,3.63948e-05,3.63948e-05
